From ERCOT historic data.  No screening or filtering applied.  Data looks good though from basic time series plot (2019),,,,
There is 1 hour of missing demand (2016,11,7,6) which is filled with linear interpolation,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2018,1,28,14,34771.549373
2018,1,28,15,35868.685593
2018,1,28,16,35904.182704
2018,1,28,17,35307.945128
2018,1,28,18,34453.367358999996
2018,1,28,19,33778.74511
2018,1,28,20,33175.978179000005
2018,1,28,21,32813.370418
2018,1,28,22,32581.288183999997
2018,1,28,23,32774.677702
2018,1,28,24,33493.225824
2018,1,29,1,35725.434092
2018,1,29,2,36478.926424
2018,1,29,3,36352.703747
2018,1,29,4,35636.028322000006
2018,1,29,5,34145.738714
2018,1,29,6,32569.322813
2018,1,29,7,31643.250357
2018,1,29,8,31360.135713
2018,1,29,9,31616.302037999998
2018,1,29,10,32337.914441
2018,1,29,11,33993.552334
2018,1,29,12,37461.502871
2018,1,29,13,42579.0734
2018,1,29,14,44468.554929000005
2018,1,29,15,43321.660933
2018,1,29,16,41947.026551
2018,1,29,17,40654.482452
2018,1,29,18,39345.790302
2018,1,29,19,38084.954452
2018,1,29,20,37123.777469
2018,1,29,21,36277.406566000005
2018,1,29,22,35722.417126
2018,1,29,23,35872.298754
2018,1,29,24,36919.309844999996
2018,1,30,1,39803.400882
2018,1,30,2,40772.707918
2018,1,30,3,40903.749789
2018,1,30,4,40030.503492
2018,1,30,5,38220.682498
2018,1,30,6,36503.650784
2018,1,30,7,35771.959677
2018,1,30,8,35832.597317
2018,1,30,9,36337.851246
2018,1,30,10,37210.483005
2018,1,30,11,38888.229182999996
2018,1,30,12,42272.571044
2018,1,30,13,47302.282682
2018,1,30,14,48664.188536
2018,1,30,15,46729.978805
2018,1,30,16,44466.292966
2018,1,30,17,42370.036741
2018,1,30,18,40325.008604
2018,1,30,19,38526.241844
2018,1,30,20,37434.481037
2018,1,30,21,36496.484497000005
2018,1,30,22,35910.999898
2018,1,30,23,36017.854386
2018,1,30,24,36970.854982
2018,1,31,1,39720.879200999996
2018,1,31,2,40657.336564
2018,1,31,3,40535.519325
2018,1,31,4,39625.996573000004
2018,1,31,5,37635.819617
2018,1,31,6,35617.57127
2018,1,31,7,34535.318238
2018,1,31,8,34148.167585
2018,1,31,9,34163.064898000004
2018,1,31,10,34579.242362
2018,1,31,11,35923.605349
2018,1,31,12,38831.999939999994
2018,1,31,13,43262.409793
2018,1,31,14,44190.070343
2018,1,31,15,42373.916895
2018,1,31,16,40478.684739
2018,1,31,17,38706.55734
2018,1,31,18,37291.461294
2018,1,31,19,36169.940058
2018,1,31,20,35523.650525
2018,1,31,21,34974.676809
2018,1,31,22,34730.343544999996
2018,1,31,23,34876.35422
2018,1,31,24,35341.939501
2018,2,1,1,37302.065403
2018,2,1,2,37656.899816000005
2018,2,1,3,37131.531623
2018,2,1,4,35799.754504000004
2018,2,1,5,33580.150318
2018,2,1,6,31396.965966000003
2018,2,1,7,29929.983964999996
2018,2,1,8,29275.946807
2018,2,1,9,29108.162444
2018,2,1,10,29276.839767
2018,2,1,11,30232.594992000002
2018,2,1,12,32799.19358
2018,2,1,13,36891.166682
2018,2,1,14,38140.713206
2018,2,1,15,37320.38687
2018,2,1,16,36947.820564
2018,2,1,17,36745.957936
2018,2,1,18,36478.515405
2018,2,1,19,36128.87399
2018,2,1,20,36095.695316000005
2018,2,1,21,35922.683181
2018,2,1,22,35778.11745
2018,2,1,23,35781.617891
2018,2,1,24,36315.248773
2018,2,2,1,38452.892592000004
2018,2,2,2,38951.264289
2018,2,2,3,38643.124735000005
2018,2,2,4,37443.315503
2018,2,2,5,35390.874125
2018,2,2,6,33352.307185000005
2018,2,2,7,32223.309414999996
2018,2,2,8,31823.021575
2018,2,2,9,31975.747812
2018,2,2,10,32583.053862
2018,2,2,11,33985.969143
2018,2,2,12,36923.822723000005
2018,2,2,13,41531.991896
2018,2,2,14,43304.505238
2018,2,2,15,42966.00321
2018,2,2,16,42327.557663
2018,2,2,17,41303.160852
2018,2,2,18,39800.326566
2018,2,2,19,38310.746238
2018,2,2,20,37266.766076
2018,2,2,21,36460.412357
2018,2,2,22,35877.761748000004
2018,2,2,23,36117.088647000004
2018,2,2,24,37251.329375
2018,2,3,1,39620.285358999994
2018,2,3,2,40116.644331
2018,2,3,3,40061.678745
2018,2,3,4,39448.925229
2018,2,3,5,38060.316289999995
2018,2,3,6,36399.917239999995
2018,2,3,7,35013.079621
2018,2,3,8,34262.802905000004
2018,2,3,9,33927.243251
2018,2,3,10,33981.552470999995
2018,2,3,11,34404.456065
2018,2,3,12,35561.061713
2018,2,3,13,37279.39198
2018,2,3,14,38976.022402999995
2018,2,3,15,40172.867254000004
2018,2,3,16,40678.241879
2018,2,3,17,40303.851058
2018,2,3,18,39587.051553
2018,2,3,19,38371.089107
2018,2,3,20,37337.482495
2018,2,3,21,36547.528883
2018,2,3,22,35991.966563
2018,2,3,23,35759.024393
2018,2,3,24,36295.706245999994
2018,2,4,1,37738.395179
2018,2,4,2,37621.464662
2018,2,4,3,37015.235236
2018,2,4,4,36026.499358
2018,2,4,5,34543.227845999994
2018,2,4,6,32961.785657
2018,2,4,7,31655.703961000003
2018,2,4,8,30765.999014999998
2018,2,4,9,30262.094627
2018,2,4,10,30082.043238
2018,2,4,11,30322.227072
2018,2,4,12,30989.575417
2018,2,4,13,32134.211491000002
2018,2,4,14,33343.252511
2018,2,4,15,34457.717527
2018,2,4,16,34881.228698
2018,2,4,17,34527.356104
2018,2,4,18,34182.970476
2018,2,4,19,33969.40083
2018,2,4,20,33908.060728
2018,2,4,21,33929.082519
2018,2,4,22,34101.336194
2018,2,4,23,34398.931772
2018,2,4,24,34834.71254
2018,2,5,1,36105.194774
2018,2,5,2,36643.187411
2018,2,5,3,36680.349039
2018,2,5,4,36412.304492
2018,2,5,5,35720.268092
2018,2,5,6,34187.931721
2018,2,5,7,33230.632248
2018,2,5,8,33166.354654
2018,2,5,9,33483.681142
2018,2,5,10,34311.21546
2018,2,5,11,35875.426960000004
2018,2,5,12,39075.109299
2018,2,5,13,43410.578817
2018,2,5,14,45301.762406
2018,2,5,15,44623.248454
2018,2,5,16,44006.867676999995
2018,2,5,17,43614.789312
2018,2,5,18,42994.859838
2018,2,5,19,42152.79511
2018,2,5,20,41263.877345
2018,2,5,21,40272.914065
2018,2,5,22,39618.806551
2018,2,5,23,39611.221613
2018,2,5,24,40394.280395999995
2018,2,6,1,42306.331575
