Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,solar capacity
2018,1,21,21,0.676840033
2018,1,21,22,0.678194255
2018,1,21,23,0.579223482
2018,1,21,24,0.125125746
2018,1,22,1,0
2018,1,22,2,0
2018,1,22,3,0
2018,1,22,4,0
2018,1,22,5,0
2018,1,22,6,0
2018,1,22,7,0
2018,1,22,8,0
2018,1,22,9,0
2018,1,22,10,0
2018,1,22,11,0
2018,1,22,12,0
2018,1,22,13,0
2018,1,22,14,1.18E-05
2018,1,22,15,0.352750316
2018,1,22,16,0.746715117
2018,1,22,17,0.728910683
2018,1,22,18,0.697922928
2018,1,22,19,0.676858606
2018,1,22,20,0.678604941
2018,1,22,21,0.692703299
2018,1,22,22,0.708657109
2018,1,22,23,0.569583028
2018,1,22,24,0.123082548
2018,1,23,1,0
2018,1,23,2,0
2018,1,23,3,0
2018,1,23,4,0
2018,1,23,5,0
2018,1,23,6,0
2018,1,23,7,0
2018,1,23,8,0
2018,1,23,9,0
2018,1,23,10,0
2018,1,23,11,0
2018,1,23,12,0
2018,1,23,13,0
2018,1,23,14,2.04E-05
2018,1,23,15,0.348633374
2018,1,23,16,0.730961562
2018,1,23,17,0.71567535
2018,1,23,18,0.689777087
2018,1,23,19,0.668169522
2018,1,23,20,0.66936343
2018,1,23,21,0.684892651
2018,1,23,22,0.722078442
2018,1,23,23,0.606220366
2018,1,23,24,0.148186867
2018,1,24,1,0
2018,1,24,2,0
2018,1,24,3,0
2018,1,24,4,0
2018,1,24,5,0
2018,1,24,6,0
2018,1,24,7,0
2018,1,24,8,0
2018,1,24,9,0
2018,1,24,10,0
2018,1,24,11,0
2018,1,24,12,0
2018,1,24,13,0
2018,1,24,14,3.51E-05
2018,1,24,15,0.368572101
2018,1,24,16,0.740433894
2018,1,24,17,0.722480844
2018,1,24,18,0.69264535
2018,1,24,19,0.671040255
2018,1,24,20,0.671552236
2018,1,24,21,0.685441601
2018,1,24,22,0.721166372
2018,1,24,23,0.595376721
2018,1,24,24,0.150091669
2018,1,25,1,0
2018,1,25,2,0
2018,1,25,3,0
2018,1,25,4,0
2018,1,25,5,0
2018,1,25,6,0
2018,1,25,7,0
2018,1,25,8,0
2018,1,25,9,0
2018,1,25,10,0
2018,1,25,11,0
2018,1,25,12,0
2018,1,25,13,0
2018,1,25,14,5.63E-05
2018,1,25,15,0.363945374
2018,1,25,16,0.722081015
2018,1,25,17,0.729790731
2018,1,25,18,0.682590488
2018,1,25,19,0.656990121
2018,1,25,20,0.653355275
2018,1,25,21,0.672645639
2018,1,25,22,0.70540235
2018,1,25,23,0.592711807
2018,1,25,24,0.144874073
2018,1,26,1,0
2018,1,26,2,0
2018,1,26,3,0
2018,1,26,4,0
2018,1,26,5,0
2018,1,26,6,0
2018,1,26,7,0
2018,1,26,8,0
2018,1,26,9,0
2018,1,26,10,0
2018,1,26,11,0
2018,1,26,12,0
2018,1,26,13,0
2018,1,26,14,0
2018,1,26,15,0.1961818
2018,1,26,16,0.539102536
