Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,wind capacity
2018,1,18,11,0.278919426
2018,1,18,12,0.254032427
2018,1,18,13,0.243248891
2018,1,18,14,0.243969129
2018,1,18,15,0.153681494
2018,1,18,16,0.12594114
2018,1,18,17,0.15128483
2018,1,18,18,0.171048183
2018,1,18,19,0.190456606
2018,1,18,20,0.197889474
2018,1,18,21,0.190691663
2018,1,18,22,0.19654143
2018,1,18,23,0.328846532
2018,1,18,24,0.598777019
2018,1,19,1,0.837905801
2018,1,19,2,0.956309439
2018,1,19,3,0.988028651
2018,1,19,4,0.981096966
2018,1,19,5,0.969601
2018,1,19,6,0.957094512
2018,1,19,7,0.941079285
2018,1,19,8,0.905398018
2018,1,19,9,0.856013654
2018,1,19,10,0.812886508
2018,1,19,11,0.770575406
2018,1,19,12,0.715812434
2018,1,19,13,0.670767039
2018,1,19,14,0.652482376
2018,1,19,15,0.457190674
2018,1,19,16,0.244950081
2018,1,19,17,0.206903521
2018,1,19,18,0.271332804
2018,1,19,19,0.396525084
2018,1,19,20,0.531452885
2018,1,19,21,0.623874375
2018,1,19,22,0.659770016
2018,1,19,23,0.807452258
2018,1,19,24,0.931871429
2018,1,20,1,0.975745419
2018,1,20,2,0.986606042
2018,1,20,3,0.997103786
2018,1,20,4,0.990359034
2018,1,20,5,0.97506596
2018,1,20,6,0.946961734
2018,1,20,7,0.908840332
2018,1,20,8,0.889397124
2018,1,20,9,0.871317063
2018,1,20,10,0.862678928
2018,1,20,11,0.860501197
2018,1,20,12,0.840281181
2018,1,20,13,0.83057636
2018,1,20,14,0.822649551
2018,1,20,15,0.609714046
2018,1,20,16,0.25798142
2018,1,20,17,0.205612406
2018,1,20,18,0.240596717
2018,1,20,19,0.32342085
2018,1,20,20,0.376279401
2018,1,20,21,0.389583432
2018,1,20,22,0.395946774
2018,1,20,23,0.607283932
2018,1,20,24,0.843437617
2018,1,21,1,0.968858979
2018,1,21,2,0.999675278
2018,1,21,3,0.999981697
2018,1,21,4,0.992872334
2018,1,21,5,0.985883227
2018,1,21,6,0.975813675
2018,1,21,7,0.963633127
2018,1,21,8,0.949379446
2018,1,21,9,0.899310382
2018,1,21,10,0.85896312
2018,1,21,11,0.839466408
2018,1,21,12,0.845303931
2018,1,21,13,0.833800773
2018,1,21,14,0.826684721
2018,1,21,15,0.747790613
2018,1,21,16,0.677965637
2018,1,21,17,0.884639344
2018,1,21,18,0.944160896
2018,1,21,19,0.970032385
2018,1,21,20,0.980640785
2018,1,21,21,0.983423634
2018,1,21,22,0.985051579
2018,1,21,23,0.981520601
